,Status,CommonCode,Name,Description,LevelAndCategory,Symbol,ConversionFactor
84,X,1K,locomotive mile,nan,3.5,nan,nan
85,X,1L,total car count,nan,3.5,nan,nan
86,X,1M,total car mile,nan,3.5,nan,nan
87,X,1X,quarter mile,nan,3.8,nan,nan
88,nan,2A,radian per second,Refer ISO/TC12 SI Guide,1,rad/s,rad/s
89,nan,2B,radian per second squared,Refer ISO/TC12 SI Guide,1,rad/s²,rad/s²
90,nan,2C,roentgen,nan,2,R,"2,58 x 10⁻⁴ C/kg"
91,nan,2G,volt AC,A unit of electric potential in relation to alternating current (AC).,3.1,V,V
92,nan,2H,volt DC,A unit of electric potential in relation to direct current (DC).,3.1,V,V
93,nan,2I,British thermal unit (international table) per hour,nan,2,BtuIT/h,"2,930 711x 10⁻¹ W"
94,nan,2J,cubic centimetre per second,nan,1S,cm³/s,10⁻⁶ m³/s
95,nan,2K,cubic foot per hour,nan,2,ft³/h,"7,865 79 x 10⁻⁶ m³/s"
96,nan,2L,cubic foot per minute,nan,2,ft³/min,"4,719 474 x 10⁻⁴ m³/s"
97,nan,2M,centimetre per second,nan,1S,cm/s,10⁻² m/s
98,nan,2N,decibel,nan,1,dB,"0,115 129 3 Np"
99,nan,2P,kilobyte,A unit of information equal to 10³ (1000) bytes.,3.6,kbyte,nan
100,nan,2Q,kilobecquerel,nan,1S,kBq,10³ Bq
101,nan,2R,kilocurie,nan,2S,kCi,"3,7 x 10¹³ Bq"
102,nan,2U,megagram,nan,1S,Mg,10³ kg
103,X,2V,megagram per hour,nan,3.8,Mg/h,nan
104,X,2W,bin,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,nan,nan
105,nan,2X,metre per minute,nan,1M,m/min,"0,016 666 m/s"
106,nan,2Y,milliroentgen,nan,2,mR,"2,58 x 10⁻⁷ C/kg"
107,nan,2Z,millivolt,nan,1S,mV,10⁻³ V
108,nan,3B,megajoule,nan,1S,MJ,10⁶ J
109,nan,3C,manmonth,A unit of count defining the number of months for a person or persons to perform an undertaking.,3.9,nan,nan
110,X,3E,pound per pound of product,nan,3.9,nan,nan
111,X,3G,pound per piece of product,nan,3.9,nan,nan
112,X,3H,kilogram per kilogram of product,nan,3.9,nan,nan
113,X,3I,kilogram per piece of product,nan,3.9,nan,nan
114,X,4A,bobbin,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,nan,nan
115,X,4B,cap,nan,3.9,nan,nan
116,nan,4C,centistokes,nan,2,cSt,10⁻⁶ m²/s
117,X,4E,twenty pack,nan,3.2,nan,nan
118,nan,4G,microlitre,nan,1M,µl,10⁻⁹ m³
119,nan,4H,micrometre (micron),nan,1S,µm,10⁻⁶ m
120,nan,4K,milliampere,nan,1S,mA,10⁻³ A
121,nan,4L,megabyte,A unit of information equal to 10⁶ (1000000) bytes.,3.6,Mbyte,nan
122,nan,4M,milligram per hour,nan,1M,mg/h,"2,777 78 x 10⁻¹⁰ kg/s"
123,nan,4N,megabecquerel,nan,1S,MBq,10⁶ Bq
124,nan,4O,microfarad,nan,1S,µF,10⁻⁶ F
125,nan,4P,newton per metre,nan,1,N/m,N/m
126,nan,4Q,ounce inch,nan,2,oz·in,"7,200 778 x 10⁻⁴ kg x m"
127,nan,4R,ounce foot,nan,2,oz·ft,"8,640 934 x 10⁻³ kg x m"
128,nan,4T,picofarad,nan,1S,pF,10⁻¹² F
129,nan,4U,pound per hour,nan,2,lb/h,"1,259 979 x 10⁻⁴ kg/s"
130,nan,4W,ton (US) per hour,nan,2,ton (US) /h,"2,519 958 x 10⁻¹ kg/s"
131,nan,4X,kilolitre per hour,nan,1M,kl/h,"2,777 78 x 10⁻⁴ m³/s"
132,nan,5A,barrel (US) per minute,nan,2,barrel (US)/min,"2,649 79 x 10⁻³ m³/s"
133,nan,5B,batch,A unit of count defining the number of batches (batch: quantity of material produced in one operation or number of animals or persons coming at once).,3.9,nan,nan
134,X,5C,gallon(US) per thousand,nan,3.9,nan,nan
135,nan,5E,MMSCF/day,A unit of volume equal to one million (1000000) cubic feet of gas per day.,3.9,nan,nan
136,X,5F,pound per thousand,nan,3.9,nan,nan
137,X,5G,pump,nan,3.9,nan,nan
138,X,5H,stage,nan,3.9,nan,nan
139,X,5I,standard cubic foot,Use standard (common code WSD),2,std,"4,672 m³"
140,nan,5J,hydraulic horse power,A unit of power defining the hydraulic horse power delivered by a fluid pump depending on the viscosity of the fluid.,3.5,nan,nan
141,X,5K,count per minute,nan,3.9,nan,nan
142,X,5P,seismic level,nan,3.9,nan,nan
143,X,5Q,seismic line,nan,3.9,nan,nan
144,D,A1,15 °C calorie,nan,2,cal₁₅,"4,188 46  J"
145,nan,A10,ampere square metre per joule second,nan,1,A·m²/(J·s),(A x s)/kg
146,nan,A11,angstrom,nan,1,Å,10⁻¹⁰ m
147,nan,A12,astronomical unit,nan,1,ua,"1,495 978 70 x 10¹¹ m"
148,nan,A13,attojoule,nan,1S,aJ,10⁻¹⁸ J
149,nan,A14,barn,nan,1,b,10⁻²⁸ m²
150,nan,A15,barn per electronvolt,nan,1,b/eV,"6,241 51 x 10⁻¹⁰ m²/J"
151,nan,A16,barn per steradian electronvolt,nan,1,b/(sr·eV),"6,241 51 x 10⁻¹⁰ m²/(sr xJ)"
152,nan,A17,barn per steradian,nan,1,b/sr,1 x 10⁻²⁸ m²/sr
153,nan,A18,becquerel per kilogram,nan,1,Bq/kg,"27,027 x 10⁻¹² Ci/kg"
154,nan,A19,becquerel per cubic metre,nan,1,Bq/m³,Bq/m³
155,nan,A2,ampere per centimetre,nan,1S,A/cm,10² A/m
156,nan,A20,British thermal unit (international table) per second square foot degree Rankine,nan,2,BtuIT/(s·ft²·°R),"20 441,7 W/(m² x K)"
157,nan,A21,British thermal unit (international table) per pound degree Rankine,nan,2,BtuIT/(lb·°R),"4 186,8 J/(kg x K)"
158,nan,A22,British thermal unit (international table) per second foot degree Rankine,nan,2,BtuIT/(s·ft·°R),"6 230,64 W/(m x K)"
159,nan,A23,British thermal unit (international table) per hour square foot degree Rankine,nan,2,BtuIT/(h·ft²·°R),"5,678 26 W/ (m² x K)"
160,nan,A24,candela per square metre,nan,1,cd/m²,cd/m²
161,D,A25,cheval vapeur,Synonym: metric horse power,2,CV,"7,354 988 x 10² W"
162,nan,A26,coulomb metre,nan,1,C·m,A x s x m
163,nan,A27,coulomb metre squared per volt,nan,1,C·m²/V,A² x  s⁴/kg
164,nan,A28,coulomb per cubic centimetre,nan,1S,C/cm³,10⁶ C/m³
165,nan,A29,coulomb per cubic metre,nan,1,C/m³,C/m³
166,nan,A3,ampere per millimetre,nan,1S,A/mm,10³ A/m
167,nan,A30,coulomb per cubic millimetre,nan,1S,C/mm³,10⁹ C/m³
168,nan,A31,coulomb per kilogram second,nan,1,C/(kg·s),A/kg
169,nan,A32,coulomb per mole,nan,1,C/mol,A x s/mol
170,nan,A33,coulomb per square centimetre,nan,1S,C/cm²,10⁴ C/m²
171,nan,A34,coulomb per square metre,nan,1,C/m²,C/m²
172,nan,A35,coulomb per square millimetre,nan,1S,C/mm²,10⁶ C/m²
173,nan,A36,cubic centimetre per mole,nan,1S,cm³/mol,10⁻⁶ m³/mol
174,nan,A37,cubic decimetre per mole,nan,1S,dm³/mol,10⁻³ m³/mol
175,nan,A38,cubic metre per coulomb,nan,1,m³/C,m³/A x s
176,nan,A39,cubic metre per kilogram,nan,1,m³/kg,m³/kg
177,nan,A4,ampere per square centimetre,nan,1S,A/cm²,10⁴ A/m²
178,nan,A40,cubic metre per mole,nan,1,m³/mol,m³/mol
179,nan,A41,ampere per square metre,nan,1,A/m²,A/m²
180,nan,A42,curie per kilogram,nan,2,Ci/kg,"3,7 x 10¹⁰ Bq/kg"
181,nan,A43,deadweight tonnage,"A unit of mass defining the difference between the weight of a ship when completely empty and its weight when completely loaded, expressed as the number of tons.",3.4,dwt,nan
182,nan,A44,decalitre,nan,1M,dal,10⁻² m³
183,nan,A45,decametre,nan,1M,dam,10 m
184,nan,A47,decitex,A unit of yarn density. One decitex equals a mass of 1 gram per 10 kilometres of length.,3.5,dtex (g/10km),nan
185,nan,A48,degree Rankine,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics),2,°R,5/9 x K
186,nan,A49,denier,A unit of yarn density. One denier equals a mass of 1 gram per 9 kilometres of length.,3.5,den (g/9 km),nan
187,nan,A5,ampere square metre,nan,1,A·m²,A x m²
188,D,A50,dyne second per cubic centimetre,nan,2,dyn·s/cm³,10 Pa x s/m
189,D,A51,dyne second per centimetre,nan,2,dyn·s/cm,10⁻³ N x s/m
190,D,A52,dyne second per centimetre to the fifth power,nan,2,dyn·s/cm⁵,10⁵ Pa x s/m³
191,nan,A53,electronvolt,nan,1,eV,"1,602 176 487 x 10⁻¹⁹ J"
192,nan,A54,electronvolt per metre,nan,1,eV/m,"1,602 176 487 x 10⁻¹⁹ J/m"
193,nan,A55,electronvolt square metre,nan,1,eV·m²,"1,602 176 487 x 10⁻¹⁹ J x m²"
194,nan,A56,electronvolt square metre per kilogram,nan,1,eV·m²/kg,"1,602 176 487 x 10⁻¹⁹ J x m²/kg"
195,D,A57,erg,nan,2,erg,10⁻⁷J
196,D,A58,erg per centimetre,nan,2,erg/cm,10⁻⁵ J/m
197,nan,A59,8-part cloud cover,"A unit of count defining the number of eighth-parts as a measure of the celestial dome cloud coverage.,Synonym: OKTA , OCTA",3.9,nan,nan
198,nan,A6,ampere per square metre kelvin squared,nan,1,A/(m²·K²),A/(m² x K²)
199,D,A60,erg per cubic centimetre,nan,2,erg/cm³,10⁻¹ J/m³
200,D,A61,erg per gram,nan,2,erg/g,10⁻⁴ J/kg
201,D,A62,erg per gram second,nan,2,erg/g·s,10⁻⁴ W/kg
202,D,A63,erg per second,nan,2,erg/s,10⁻⁷ W
203,D,A64,erg per second square centimetre,nan,2,erg/(s·cm²),10⁻³ W/m²
204,D,A65,erg per square centimetre second,nan,2,erg/(cm²·s),10⁻³ W/m²
205,D,A66,erg square centimetre,nan,2,erg·cm²,10⁻¹¹ J x m²
206,D,A67,erg square centimetre per gram,nan,2,erg·cm²/g,10⁻⁸ J x m²/kg
207,nan,A68,exajoule,nan,1S,EJ,10¹⁸ J
208,nan,A69,farad per metre,nan,1,F/m,kg⁻¹ x m⁻³ x s⁴ x A²
209,nan,A7,ampere per square millimetre,nan,1S,A/mm²,10⁶ A/m²
210,nan,A70,femtojoule,nan,1S,fJ,10⁻¹⁵ J
211,nan,A71,femtometre,nan,1S,fm,10⁻¹⁵ m
212,nan,A73,foot per second squared,nan,2,ft/s²,"0,304 8 m/s²"
213,nan,A74,foot pound-force per second,nan,2,ft·lbf/s,"1,355 818 W"
214,nan,A75,freight ton,"A unit of information typically used for billing purposes, defined as either the number of metric tons or the number of cubic metres, whichever is the larger.",3.4,nan,nan
215,nan,A76,gal,nan,1S,Gal,10⁻² m/s²
216,D,A77,Gaussian CGS (Centimetre-Gram-Second system) unit of displacement,nan,3.5,nan,nan
217,D,A78,Gaussian CGS (Centimetre-Gram-Second system) unit of electric current,nan,3.5,nan,nan
218,D,A79,Gaussian CGS (Centimetre-Gram-Second system) unit of electric charge,nan,3.5,nan,nan
219,nan,A8,ampere second,nan,1,A·s,C
220,D,A80,Gaussian CGS (Centimetre-Gram-Second system) unit of electric field strength,nan,3.5,nan,nan
221,D,A81,Gaussian CGS (Centimetre-Gram-Second system) unit of electric polarization,nan,3.5,nan,nan
222,D,A82,Gaussian CGS (Centimetre-Gram-Second system) unit of electric potential,nan,3.5,nan,nan
223,D,A83,Gaussian CGS (Centimetre-Gram-Second system) unit of magnetization,nan,3.5,nan,nan
224,nan,A84,gigacoulomb per cubic metre,nan,1S,GC/m³,10⁹ C/m³
225,nan,A85,gigaelectronvolt,nan,1S,GeV,10⁹ eV
226,nan,A86,gigahertz,nan,1S,GHz,10⁹ Hz
227,nan,A87,gigaohm,nan,1S,GΩ,10⁹ Ω
228,nan,A88,gigaohm metre,nan,1S,GΩ·m,10⁹ Ω x m
229,nan,A89,gigapascal,nan,1S,GPa,10⁹ Pa
230,nan,A9,rate,A unit of quantity expressed as a rate for usage of a facility or service.,3.9,nan,nan
231,nan,A90,gigawatt,nan,1S,GW,10⁹ W
232,nan,A91,gon,Synonym: grade,2,gon,"1,570 796 x 10⁻² rad"
233,nan,A93,gram per cubic metre,nan,1M,g/m³,10⁻³ kg/m³
234,nan,A94,gram per mole,nan,1S,g/mol,10⁻³ kg/mol
235,nan,A95,gray,nan,1,Gy,m²/s²
236,nan,A96,gray per second,nan,1,Gy/s,m²/s³
237,nan,A97,hectopascal,nan,1S,hPa,10² Pa
238,nan,A98,henry per metre,nan,1,H/m,H/m
239,nan,A99,bit,A unit of information equal to one binary digit.,3.6,bit,nan
240,nan,AA,ball,A unit of count defining the number of balls (ball: object formed in the shape of sphere).,3.9,nan,nan
241,nan,AB,bulk pack,A unit of count defining the number of items per bulk pack.,3.9,pk,nan
242,nan,ACR,acre,nan,2,acre,"4 046,873 m²"
243,nan,ACT,activity,A unit of count defining the number of activities (activity: a unit of work or action).,3.2,nan,nan
244,nan,AD,byte,A unit of information equal to 8 bits.,3.6,byte,nan
245,nan,AE,ampere per metre,nan,1,A/m,A/m
246,nan,AH,additional minute,A unit of time defining the number of minutes in addition to the referenced minutes.,3.5,nan,nan
247,nan,AI,average minute per call,A unit of count defining the number of minutes for the average interval of a call.,3.5,nan,nan
248,X,AJ,cop,nan,3.9,nan,nan
249,nan,AK,fathom,nan,2,fth,"1,828 8 m"
250,nan,AL,access line,A unit of count defining the number of telephone access lines.,3.5,nan,nan
251,X,AM,ampoule,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,nan,nan
252,nan,AMH,ampere hour,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one hour.,1M,A·h,"3,6 x 10³ C"
253,nan,AMP,ampere,nan,1,A,A
254,nan,ANN,year,"Unit of time equal to 365,25 days.,Synonym: Julian year",2,y,"3,155 76 x 10⁷ s"
255,X,AP,aluminium pound only,nan,3.1,nan,nan
256,nan,APZ,troy ounce or apothecary ounce,nan,2,tr oz,"3,110 348 x 10⁻³ kg"
257,nan,AQ,anti-hemophilic factor (AHF) unit,A unit of measure for blood potency (US).,3.9,nan,nan
258,X,AR,suppository,nan,3.3,nan,nan
259,D,ARE,are,Synonym: square decametre,2.0,a,10² m²
260,nan,AS,assortment,A unit of count defining the number of assortments (assortment: set of items grouped in a mixed collection).,3.9,nan,nan
261,nan,ASM,alcoholic strength by mass,A unit of mass defining the alcoholic strength of a liquid.,3.5,nan,nan
262,nan,ASU,alcoholic strength by volume,"A unit of volume defining the alcoholic strength of a liquid (e.g. spirit, wine, beer, etc), often at a specific temperature.",3.5,nan,nan
263,nan,ATM,standard atmosphere,nan,1,atm,1 013 25 Pa
264,D,ATT,technical atmosphere,nan,2,at,"98 066,5 Pa"
265,X,AV,capsule,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,nan,nan
266,X,AW,powder filled vial,nan,3.3,nan,nan
267,nan,AWG,american wire gauge,A unit of distance used for measuring the diameter of small tubes or wires such as the outer diameter of hypotermic or suture needles.,2,AWG,nan
268,nan,AY,assembly,A unit of count defining the number of assemblies (assembly: items that consist of component parts).,3.9,nan,nan
269,nan,AZ,British thermal unit (international table) per pound,nan,2,BtuIT/lb,2 326 J/kg
270,X,B0,Btu per cubic foot,nan,3.9,BTU/ft³,nan
271,nan,B1,barrel (US) per day,nan,3.5,barrel (US)/d,"1,840 13 x 10⁻⁶ m³/s"
272,nan,B10,bit per second,A unit of information equal to one binary digit per second.,3.6,bit/s,nan
273,nan,B11,joule per kilogram kelvin,nan,1,J/(kg·K),J/(kg x K)
274,nan,B12,joule per metre,nan,1,J/m,J/m
275,nan,B13,joule per square metre,Synonym: joule per metre squared,1,J/m²,J/m²
276,nan,B14,joule per metre to the fourth power,nan,1,J/m⁴,J/m⁴
277,nan,B15,joule per mole,nan,1,J/mol,J/mol
278,nan,B16,joule per mole kelvin,nan,1,J/(mol·K),J/(mol x K)
279,nan,B17,credit,A unit of count defining the number of entries made to the credit side of an account.,3.9,nan,nan
280,nan,B18,joule second,nan,1,J·s,J x s
281,nan,B19,digit,A unit of information defining the quantity of numerals used to form a number.,3.7,nan,nan
282,X,B2,bunk,nan,3.9,nan,nan
283,nan,B20,joule square metre per kilogram,nan,1,J·m²/kg,J x m²/kg
284,nan,B21,kelvin per watt,nan,1,K/W,K/W
285,nan,B22,kiloampere,nan,1S,kA,10³ A
286,nan,B23,kiloampere per square metre,nan,1S,kA/m²,10³ A/m²
287,nan,B24,kiloampere per metre,nan,1S,kA/m,10³ A/m
288,nan,B25,kilobecquerel per kilogram,nan,1S,kBq/kg,10³ Bq/kg
289,nan,B26,kilocoulomb,nan,1S,kC,10³ C
290,nan,B27,kilocoulomb per cubic metre,nan,1S,kC/m³,10³ C/m³
291,nan,B28,kilocoulomb per square metre,nan,1S,kC/m²,10³ C/m²
292,nan,B29,kiloelectronvolt,nan,1S,keV,10³ eV
293,nan,B3,batting pound,A unit of mass defining the number of pounds of wadded fibre.,3.1,nan,nan
294,nan,B30,gibibit,A unit of information equal to 2³⁰ bits (binary digits).,3.6,Gibit,nan
295,nan,B31,kilogram metre per second,nan,1,kg·m/s,kg x m/s
296,nan,B32,kilogram metre squared,nan,1,kg·m²,kg x m²
297,nan,B33,kilogram metre squared per second,nan,1,kg·m²/s,kg x m²/s
298,nan,B34,kilogram per cubic decimetre,nan,1S,kg/dm³,10³ kg/m³
299,nan,B35,kilogram per litre,nan,1S,kg/l or kg/L,10³ kg/m³
300,D,B36,calorie (thermochemical) per gram,nan,2,calth/g,4 184 J/kg
301,D,B37,kilogram-force,nan,2,kgf,"9,806 65 N"
302,D,B38,kilogram-force metre,nan,2,kgf·m,"9,806 65 N x m"
303,D,B39,kilogram-force metre per second,nan,2,kgf·m/s,"9,806 65 W"
304,nan,B4,"barrel, imperial",A unit of volume used to measure beer.  One beer barrel equals 36 imperial gallons.,3.5,nan,nan
305,D,B40,kilogram-force per square metre,nan,2,kgf/m²,"9,806 65 Pa"
306,nan,B41,kilojoule per kelvin,nan,1S,kJ/K,10³ J/K
307,nan,B42,kilojoule per kilogram,nan,1S,kJ/kg,10³ J/kg
308,nan,B43,kilojoule per kilogram kelvin,nan,1S,kJ/(kg·K),10³ J/(kg x K)
309,nan,B44,kilojoule per mole,nan,1S,kJ/mol,10³ J/mol
310,nan,B45,kilomole,nan,1S,kmol,10³ mol
311,nan,B46,kilomole per cubic metre,nan,1S,kmol/m³,10³ mol/m³
312,nan,B47,kilonewton,nan,1S,kN,10³ N
313,nan,B48,kilonewton metre,nan,1S,kN·m,10³ N x m
314,nan,B49,kiloohm,nan,1S,kΩ,10³ Ω
315,X,B5,billet,nan,3.9,nan,nan
316,nan,B50,kiloohm metre,nan,1S,kΩ·m,10³ Ω x m
317,D,B51,kilopond,Synonym: kilogram-force,2,kp,"9,806 65 N"
318,nan,B52,kilosecond,nan,1S,ks,10³ s
319,nan,B53,kilosiemens,nan,1S,kS,10³ S
320,nan,B54,kilosiemens per metre,nan,1S,kS/m,10³ S/m
321,nan,B55,kilovolt per metre,nan,1S,kV/m,10³ V/m
322,nan,B56,kiloweber per metre,nan,1S,kWb/m,10³ Wb/m
323,nan,B57,light year,A unit of length defining the distance that light travels in a vacuum in one year.,2,ly,"9,460 73 x 10¹⁵ m"
324,nan,B58,litre per mole,nan,1M,l/mol,10⁻³ m³/mol
325,nan,B59,lumen hour,nan,1S,lm·h,"3,6 x 10³ s x cd x sr"
326,X,B6,bun,nan,3.9,nan,nan
327,nan,B60,lumen per square metre,nan,1,lm/m²,cd x sr/m²
328,nan,B61,lumen per watt,nan,1,lm/W,cd x sr/W
329,nan,B62,lumen second,nan,1,lm·s,s x cd x sr
330,nan,B63,lux hour,nan,1S,lx·h,"3,6 x 10³ s x cd x sr / m²"
331,nan,B64,lux second,nan,1,lx·s,s x cd x sr / m²
332,D,B65,maxwell,nan,3.5,Mx,10⁻⁸ Wb
333,nan,B66,megaampere per square metre,nan,1S,MA/m²,10⁶ A/m²
334,nan,B67,megabecquerel per kilogram,nan,1S,MBq/kg,10⁶ Bq/kg
335,nan,B68,gigabit,A unit of information equal to 10⁹ bits (binary digits).,3.6,Gbit,nan
336,nan,B69,megacoulomb per cubic metre,nan,1S,MC/m³,10⁶ C/m³
337,nan,B7,cycle,A unit of count defining the number of cycles (cycle: a recurrent period of definite duration).,3.9,nan,nan
338,nan,B70,megacoulomb per square metre,nan,1S,MC/m²,10⁶ C/m²
339,nan,B71,megaelectronvolt,nan,1S,MeV,10⁶ eV
340,nan,B72,megagram per cubic metre,nan,1S,Mg/m³,10³ kg/m³
341,nan,B73,meganewton,nan,1S,MN,10⁶ N
342,nan,B74,meganewton metre,nan,1S,MN·m,10⁶ N x m
343,nan,B75,megaohm,nan,1S,MΩ,10⁶ Ω
344,nan,B76,megaohm metre,nan,1S,MΩ·m,10⁶ Ω x m
345,nan,B77,megasiemens per metre,nan,1S,MS/m,10⁶ S/m
346,nan,B78,megavolt,nan,1S,MV,10⁶ V
347,nan,B79,megavolt per metre,nan,1S,MV/m,10⁶ V/m
348,nan,B8,joule per cubic metre,nan,1,J/m³,J/m³
349,nan,B80,gigabit per second,A unit of information equal to 10⁹ bits (binary digits) per second.,3.6,Gbit/s,nan
